layer,generation,mutation_rate,cost,metrics,loss,sparsity
0,0,0.15,23.437568,0.9719,0.095281,0.042667
0,1,0.1425,15.000298,0.9696,0.104005,0.066667
0,2,0.135,11.539188,0.9661,0.113659,0.086667
0,3,0.1275,10.000974,0.9672,0.11792,0.1
0,4,0.12,10.000974,0.9672,0.11792,0.1
0,5,0.1125,10.000974,0.9672,0.11792,0.1
0,6,0.105,10.000974,0.9672,0.11792,0.1
0,7,0.0975,10.000974,0.9672,0.11792,0.1
0,8,0.09,10.000974,0.9672,0.11792,0.1
0,9,0.0825,9.616832,0.9649,0.124748,0.104
0,10,0.075,9.616832,0.9649,0.124748,0.104
0,11,0.0675,9.616832,0.9649,0.124748,0.104
0,12,0.06,9.616832,0.9649,0.124748,0.104
0,13,0.0525,9.616832,0.9649,0.124748,0.104
0,14,0.045,9.616832,0.9649,0.124748,0.104
0,15,0.0375,9.616832,0.9649,0.124748,0.104
0,16,0.03,9.495081,0.9652,0.124254,0.105333
0,17,0.0225,9.147784,0.9651,0.124683,0.109333
0,18,0.015,9.037587,0.9651,0.124683,0.110667
0,19,0.0075,8.929994,0.9646,0.124424,0.112
2,0,0.15,6.958009,0.9442,0.184385,0.143917
2,1,0.1425,6.133621,0.9457,0.19239,0.163333
2,2,0.135,5.619631,0.9084,0.301197,0.179417
2,3,0.1275,5.619631,0.9084,0.301197,0.179417
2,4,0.12,5.084331,0.8949,0.354647,0.1995
2,5,0.1125,5.084331,0.8949,0.354647,0.1995
2,6,0.105,4.953999,0.8969,0.351255,0.20475
2,7,0.0975,4.953999,0.8969,0.351255,0.20475
2,8,0.09,4.953999,0.8969,0.351255,0.20475
2,9,0.0825,4.953999,0.8969,0.351255,0.20475
2,10,0.075,4.756919,0.9227,0.299983,0.21225
2,11,0.0675,4.677673,0.9097,0.332684,0.216583
2,12,0.06,4.677673,0.9097,0.332684,0.216583
2,13,0.0525,4.661683,0.9016,0.356455,0.217917
2,14,0.045,4.60912,0.9047,0.361802,0.220583
2,15,0.0375,4.60912,0.9047,0.361802,0.220583
2,16,0.03,4.60912,0.9047,0.361802,0.220583
2,17,0.0225,4.60912,0.9047,0.361802,0.220583
2,18,0.015,4.568717,0.8995,0.368434,0.22275
2,19,0.0075,4.557078,0.8999,0.371535,0.223417
5,0,0.15,4.049316,0.927,0.331411,0.250663
5,1,0.1425,3.78476,0.9091,0.399215,0.271217
5,2,0.135,3.609312,0.9028,0.454154,0.287829
5,3,0.1275,3.584038,0.8125,0.606649,0.301779
